Wavelength in Air, Laser Power, # Photons
nm, mW, n
                         638.0,                      0.0158762,         5.099064609135897e+25
                         639.0,                      0.0146466,         4.711519079007492e+25
                         640.0,                      0.0140522,         4.527386496306674e+25
                         641.0,                      0.0133823,         4.318292598579471e+25
                         642.0,                        0.01353,         4.372764610191021e+25
                         643.0,                      0.0120955,         3.915237156413648e+25
                         644.0,                      0.0115945,        3.7589034189307836e+25
                         645.0,                      0.0111829,        3.6310934898047997e+25
                         646.0,                      0.0110273,        3.5861213597255674e+25
                         647.0,                      0.0113533,         3.697853226408889e+25
                         648.0,                      0.0111643,         3.641914776616869e+25
                         649.0,                      0.0108624,        3.5489000073482234e+25
                         650.0,                      0.0113402,        3.7107128270529944e+25
                         651.0,                      0.0102937,         3.373461595809713e+25
                         652.0,                     0.00959348,        3.1488142711407595e+25
                         653.0,                      0.0102453,        3.3679151067658483e+25
                         654.0,                     0.00868885,        2.8606407639479937e+25
                         655.0,                     0.00861725,            2.841405832124e+25
                         656.0,                     0.00869741,         2.872215738568601e+25
                         657.0,                     0.00891573,         2.948801592634584e+25
                         658.0,                     0.00906243,         3.001883498376446e+25
                         659.0,                     0.00919396,         3.050080483582382e+25
                         660.0,                     0.00915349,        3.0412626040374907e+25
                         661.0,                     0.00930676,        3.0968719534875604e+25
                         662.0,                     0.00882272,        2.9402466299000296e+25
                         663.0,                     0.00861024,        2.8737703543363317e+25
                         664.0,                     0.00836352,        2.7956349035169187e+25
                         665.0,                     0.00805542,         2.696702942922454e+25
                         666.0,                      0.0076436,        2.5626863506949776e+25
                         667.0,                     0.00732762,        2.4604358601311646e+25
                         668.0,                     0.00740389,         2.489772668258966e+25
                         669.0,                     0.00688232,        2.3178442744189794e+25
                         670.0,                     0.00688232,         2.321308914590009e+25
                         671.0,                     0.00654933,         2.212293119965813e+25
                         672.0,                     0.00628004,         2.124491304342313e+25
                         673.0,                     0.00484892,        1.6427949457723727e+25
                         674.0,                     0.00558814,        1.8960528971739716e+25
                         675.0,                     0.00531885,        1.8073605161101896e+25
                         676.0,                     0.00510248,         1.736406016226576e+25
                         677.0,                     0.00437969,        1.4926408230822343e+25
                         678.0,                       0.004539,        1.5492202015039239e+25
                         679.0,                     0.00418799,        1.4315241701523112e+25
                         680.0,                     0.00400898,        1.3723537620949924e+25
                         681.0,                     0.00320655,         1.099280193513694e+25
                         682.0,                     0.00350309,         1.202704524295864e+25
                         683.0,                     0.00319956,        1.1001052499939954e+25
                         684.0,                     0.00391041,        1.3464854704080416e+25
                         685.0,                     0.00267553,         9.226217134636199e+24
                         686.0,                     0.00250691,         8.657373078458055e+24
                         687.0,                     0.00226211,         7.823367499327418e+24
                         688.0,                     0.00265912,         9.209788345286452e+24
                         689.0,                     0.00214912,         7.454236415520625e+24
                         690.0,                      0.0020783,         7.219059198847835e+24
                         691.0,                     0.00200227,         6.965045576195737e+24
                         692.0,                     0.00109495,        3.8143773707794054e+24
                         693.0,                     0.00305131,        1.0644930781747635e+25
                         694.0,                     0.00211245,          7.38021788543496e+24
                         695.0,                     0.00191867,         6.712871973520788e+24
                         696.0,                     0.00101675,        3.5624329210944156e+24
